,Author,NoPapers
1054,AKIN FEHMI,0
1055,AKCABAY FEHMIYE,0
1058,BULBUL FERDI,0
1060,KARABUGA FERHAN,0
1063,OZGEN FERHAT,0
1068,ENSAR FERHAT,0
1071,OZMAN FERHAT,0
1080,YILDIZ FEYYAZ,0
1082,EKSI FEYZETTIN,0
1085,CELIK FIRAT,0
1090,OZDINC FUAT,0
1094,CATIR FULYA,0
1096,BIRDAL FURKAN,0
1101,SELIMOGLU FIGEN,0
1103,ELMA FIKRET,0
1106,MAZI FIKRET,0
1113,IYIDIL FILIZ,0
1114,CETIN FIRDEVS,0
1117,CAG GALIP,0
1118,YUCEL GERCEK,0
1119,OZKUK GOKAN,0
1126,OZDAMAR GOKHAN,0
1131,DEMIR GOZDE,0
1136,YUCEKAYA GULAY,0
1142,KOKEN GULEN,0
1145,TOK GULER,0
1150,ADAKLI GULSEREN,0
1156,KAYIKCI GULSEN,0
1157,KURSUN GUNAL,0
1158,ASAN GUNES,0
1162,BAHADIR GURHAN,0
1170,MERIC GURSOY,0
1173,SEKER GUVEN,0
1176,OZDEMIR HABIB,0
1181,TASPINAR HACI,0
1183,ATA HACI,0
1186,SOY HACI,0
1190,TASCI HACI,0
1200,ALTUN HAKAN,0
1202,BAKAN HAKAN,0
1209,DEMIRBOGA HAKAN,0
1211,DEGIRMENCI HAKAN,0
1217,MERTCAN HAKAN,0
1233,OZKOKELI HAKAN,0
1237,FINDIK HAKKI,0
1245,AKMAN HALIL,0
1248,BILECEN HALIL,0
1253,UCAL HALIL,0
1263,OKUTAN HALIL,0
1264,TANC HALIL,0
1271,AKBULUT HALIM,0
1272,KORUCU HALIM,0
1273,NALIN HALIME,0
1281,KAMCI HAMDI,0
1284,TOSUN HAMZA,0
1285,UZUM HAMZA,0
1287,MERMERKAYA HAMIT,0
1289,PALABIYIK HAMIT,0
1294,TOPAL HANIFE,0
1331,ELLEK HASAN,0
1335,ERCELIK HASAN,0
1339,ULUTIN HASAN,0
1343,KOSGER HASAN,0
1346,CALI HASAN,0
1351,KALA HASAN,0
1354,KARACAN HASAN,0
1367,YILDI HASAN,0
1370,CANKAYA HASAN,0
1371,CEVIKOGLU HASAN,0
1376,IBICIOGLU HASAN,0
1378,ASLAN HASBI,0
1383,AKIN HATICE,0
1385,SEZAN HATICE,0
1386,TEBER HATICE,0
1388,YESILDAL HATICE,0
1394,YILMAZ HAUDAI,0
1396,SAHIN HAVANUR,0
1398,KOCA HAVVA,0
1407,TUNCEL HAYRETTIN,0
1413,DAVAS HEDIYE,0
1416,HATIPOGLU HURISEL,0
1417,CAN HUDAYI,0
1420,ELIBUYUK HULYA,0
1421,GOKNAR HULYA,0
1425,BURUCU HUMEYRA,0
1427,BICICI HUR,0
1428,AKYUZOGLU HUSEYIN,0
1431,ALPSOY HUSEYIN,0
1436,BARGAN HUSEYIN,0
1441,KAYHAN HUSEYIN,0
1444,CINOGLU HUSEYIN,0
1446,ERISIK HUSEYIN,0
1448,ERTUC HUSEYIN,0
1474,GONEL HUSEIN,0
1477,BAKKAL HIDAYET,0
1479,CIGLIK HIKMET,0
1484,KIRLIOGLU HILMI,0
1494,ALPER KADIR,0
1496,BASER KADIR,0
1500,GUMRAH KADIR,0
1503,KIRKBOGA KADIR,0
1504,PAKSOY KADIR,0
1506,TAN KADIR,0
1508,TUZLAK KADIR,0
1523,KARAGOZ KASIM,0
1525,CAGLAYA KASIM,0
1530,SARICI KAZIM,0
1536,BASLAR KEMAL,0
1545,BULUT KENAN,0
1548,KAYISIZ KENAN,0
1560,LORDOGLU KUVVET,0
1562,GULTEKIN KUBRA,0
1570,KAHVECI KUCUK,0
1571,AKYUZ LATIFE,0
1572,CANTEK LAIKA,0
1573,AKIN LEMI,0
1578,AKTURK LEVENT,0
1583,UNSALDI LEVENT,0
1585,SIMSEK LEVENT,0
1586,UNAL LEYLA,0
1588,RATHKE LEYLA,0
1591,ERDEMIR LOKMAN,0
1597,YAVUZ LUTFULLAH,0
1600,OZCAN LUTFI,0
1603,KAYA LILUFER,0
1605,ERCEVAHIR MACIT,0
1606,BASTURK MAHMET,0
1611,AYPEK MAHMUT,0
1612,BIRGUN MAHMUT,0
1613,BUYUKBOZDUGAN MAHMUT,0
1615,DAGLI MAHMUT,0
1625,ZKAN MAHMUT,0
1627,ULESIN MAHMUT,0
1628,INANC MAHMUT,0
1637,PAKDEMIRLI MEFKURE,0
1647,KILAVUZ MEHMET,0
1652,CUKURCAYIR MEHMET,0
1669,BUYUKGUCLU MEHMET,0
1671,AYAN MEHMET,0
1673,ACAT MEHMET,0
1677,BASOREN MEHMET,0
1683,CENGIL MEHMET,0
1687,UNIVERSITYER MEHMET,0
1696,CAMAN MEHMET,0
1712,ESGIN MEHMET,0
1714,CATAL MEHMET,0
