,SearchNames,Author,NoPapers
99,AU=AYAC AHME,AYAC AHME,0
100,AU=TANRIKULU AHMED,TANRIKULU AHMED,2
101,AU=TEKINAY AHMET,TEKINAY AHMET,9
102,AU=AFYON AHMET,AFYON AHMET,7
103,AU=AKBAS AHMET,AKBAS AHMET,15
104,AU=AKTURK AHMET,AKTURK AHMET,11
105,AU=AKCAY AHMET,AKCAY AHMET,48
106,AU=ALTINTAS AHMET,ALTINTAS AHMET,27
107,AU=SANCAKTUTAR AHMET,SANCAKTUTAR AHMET,107
108,AU=ATLI AHMET,ATLI AHMET,0
109,AU=AYPAY AHMET,AYPAY AHMET,11
110,AU=BAL AHMET,BAL AHMET,22
111,AU=BAYLAR AHMET,BAYLAR AHMET,24
112,AU=BAYRAKTAR AHMET,BAYRAKTAR AHMET,6
113,AU=BAYTAK AHMET,BAYTAK AHMET,8
114,AU=BEDIR AHMET,BEDIR AHMET,1
115,AU=BEKIR AHMET,BEKIR AHMET,118
116,AU=BESKAYA AHMET,BESKAYA AHMET,0
117,AU=BIYIK AHMET,BIYIK AHMET,0
118,AU=BOYACI AHMET,BOYACI AHMET,30
119,AU=BULUT AHMET,BULUT AHMET,67
120,AU=TURHAN AHMET,TURHAN AHMET,39
121,AU=SENGUL AHMET,SENGUL AHMET,12
122,AU=DURAK AHMET,DURAK AHMET,14
123,AU=YENIDUNYA AHMET,YENIDUNYA AHMET,0
124,AU=DAGDAS AHMET,DAGDAS AHMET,8
125,AU=DEMIR AHMET,DEMIR AHMET,221
126,AU=DEMIRER AHMET,DEMIRER AHMET,5
127,AU=AYSEV AHMET,AYSEV AHMET,8
128,AU=DURAN AHMET,DURAN AHMET,86
129,AU=DUVAN AHMET,DUVAN AHMET,0
130,AU=DILEK AHMET,DILEK AHMET,21
131,AU=DIRIER AHMET,DIRIER AHMET,16
132,AU=MUFTUOGLU AHMET,MUFTUOGLU AHMET,1
133,AU=EKMEKYAPAR AHMET,EKMEKYAPAR AHMET,10
134,AU=SEKERCI AHMET,SEKERCI AHMET,52
135,AU=ERDINC AHMET,ERDINC AHMET,10
136,AU=EROL AHMET,EROL AHMET,11
137,AU=EYIBILEN AHMET,EYIBILEN AHMET,31
138,AU=KILIC AHMET,KILIC AHMET,204
139,AU=YUCEL AHMET,YUCEL AHMET,58
140,AU=GAYRETLI AHMET,GAYRETLI AHMET,3
141,AU=GOKGOZ AHMET,GOKGOZ AHMET,1
142,AU=GOKCIMEN AHMET,GOKCIMEN AHMET,2
143,AU=GUNER AHMET,GUNER AHMET,57
144,AU=GUNES AHMET,GUNES AHMET,18
145,AU=GUREL AHMET,GUREL AHMET,37
146,AU=GUZEL AHMET,GUZEL AHMET,92
147,AU=ERTAS AHMET,ERTAS AHMET,36
148,AU=KOSE AHMET,KOSE AHMET,18
149,AU=EROGLU AHMET,EROGLU AHMET,59
150,AU=KAHRAMAN AHMET,KAHRAMAN AHMET,106
151,AU=KARAASLAN AHMET,KARAASLAN AHMET,43
152,AU=KARADAG AHMET,KARADAG AHMET,84
153,AU=KARATAS AHMET,KARATAS AHMET,77
154,AU=KAYA AHMET,KAYA AHMET,240
155,AU=GULTEKIN AHMET,GULTEKIN AHMET,6
156,AU=KESKIN AHMET,KESKIN AHMET,36
157,AU=KILIC AHMET,KILIC AHMET,204
158,AU=KUNDURACIOGLU AHMET,KUNDURACIOGLU AHMET,8
159,AU=KIZIRGIL AHMET,KIZIRGIL AHMET,6
160,AU=UGUR AHMET,UGUR AHMET,22
161,AU=MENKU AHMET,MENKU AHMET,21
162,AU=ONAT AHMET,ONAT AHMET,125
163,AU=AYTEKIN AHMET,AYTEKIN AHMET,22
164,AU=PIINAR AHMET,PIINAR AHMET,0
165,AU=GUNES AHMET,GUNES AHMET,18
166,AU=NACAR AHMET,NACAR AHMET,28
167,AU=SIRKECIOGLU AHMET,SIRKECIOGLU AHMET,18
168,AU=OZCIVAN AHMET,OZCIVAN AHMET,0
169,AU=OKUMUS AHMET,OKUMUS AHMET,3
170,AU=CELIK AHMET,CELIK AHMET,195
171,AU=PASINLI AHMET,PASINLI AHMET,10
172,AU=PEKCAN AHMET,PEKCAN AHMET,0
173,AU=YAYLA AHMET,YAYLA AHMET,2
174,AU=DIZKIRICI AHMET,DIZKIRICI AHMET,0
175,AU=SONGUR AHMET,SONGUR AHMET,34
176,AU=SOYSAL AHMET,SOYSAL AHMET,71
177,AU=SURUCU AHMET,SURUCU AHMET,5
178,AU=TEMIZ AHMET,TEMIZ AHMET,56
179,AU=TEMIZYUREK AHMET,TEMIZYUREK AHMET,0
180,AU=ULUS AHMET,ULUS AHMET,16
181,AU=OZCERIT AHMET,OZCERIT AHMET,12
182,AU=TUTOGLU AHMET,TUTOGLU AHMET,30
183,AU=ULUDAG AHMET,ULUDAG AHMET,36
184,AU=UYSAL AHMET,UYSAL AHMET,120
185,AU=UCAR AHMET,UCAR AHMET,67
186,AU=UCAR AHMET,UCAR AHMET,67
187,AU=VAR AHMET,VAR AHMET,31
188,AU=VURAL AHMET,VURAL AHMET,58
189,AU=GUNGOR AHMET,GUNGOR AHMET,20
190,AU=YESILDAG AHMET,YESILDAG AHMET,25
191,AU=YILDIRIM AHMET,YILDIRIM AHMET,256
192,AU=ATA AHMET,ATA AHMET,3
193,AU=YULAFCI AHMET,YULAFCI AHMET,1
194,AU=YUMUSAK AHMET,YUMUSAK AHMET,1
195,AU=YONEM AHMET,YONEM AHMET,0
196,AU=CALISKAN AHMET,CALISKAN AHMET,71
197,AU=CAVDAR AHMET,CAVDAR AHMET,16
198,AU=CELIK AHMET,CELIK AHMET,195
199,AU=CAN AHMET,CAN AHMET,61
200,AU=CETINKAYA AHMET,CETINKAYA AHMET,39
201,AU=CINKAYA AHMET,CINKAYA AHMET,8
202,AU=CINI AHMET,CINI AHMET,0
203,AU=OKSUZ AHMET,OKSUZ AHMET,4
