,SearchNames,Author,NoPapers
479,AU=SARIBOGA BAHTIYAR,SARIBOGA BAHTIYAR,13
480,AU=SARITAS BAKI,SARITAS BAKI,0
481,AU=TURKKAN BAKI,TURKKAN BAKI,6
482,AU=ALTAN BANU,ALTAN BANU,0
483,AU=KALE BANU,KALE BANU,4
484,AU=UYSAL BANU,UYSAL BANU,12
485,AU=IZGI BANU,IZGI BANU,0
486,AU=GUNAY BANIHAN,GUNAY BANIHAN,12
487,AU=COREKCI BARAM,COREKCI BARAM,0
488,AU=GENCER BARAN,GENCER BARAN,37
489,AU=ASCI BARIS,ASCI BARIS,3
490,AU=ERCAL BARIS,ERCAL BARIS,17
491,AU=GULHAN BARIS,GULHAN BARIS,12
492,AU=KIREMITCI BARIS,KIREMITCI BARIS,2
493,AU=YALINKILIC BARIS,YALINKILIC BARIS,5
494,AU=ALKAWASMEI BASSAM,ALKAWASMEI BASSAM,0
495,AU=DIKMEN BAYAZIT,DIKMEN BAYAZIT,49
496,AU=AKARSU BAYRAM,AKARSU BAYRAM,2
497,AU=ALTUNTAS BAYRAM,ALTUNTAS BAYRAM,34
498,AU=ABALI BAYRAM,ABALI BAYRAM,0
499,AU=CETISLI BAYRAM,CETISLI BAYRAM,21
500,AU=ERZURUMLUOGLU BAYRAM,ERZURUMLUOGLU BAYRAM,0
501,AU=KAHRAMAN BAYRAM,KAHRAMAN BAYRAM,17
502,AU=KOKSAL BAYRAM,KOKSAL BAYRAM,0
503,AU=CIRAK BAYRAM,CIRAK BAYRAM,17
504,AU=INCE BAYRAM,INCE BAYRAM,7
505,AU=BAYRAKTAR BEDIZ,BAYRAKTAR BEDIZ,0
506,AU=AKTAS BEKIR,AKTAS BEKIR,36
507,AU=ATIK BEKIR,ATIK BEKIR,42
508,AU=DOGAN BEKIR,DOGAN BEKIR,35
509,AU=GUNAY BEKIR,GUNAY BEKIR,0
510,AU=KARAARSLAN BEKIR,KARAARSLAN BEKIR,5
511,AU=KOLE BEKIR,KOLE BEKIR,0
512,AU=MUMYAKMAZ BEKIR,MUMYAKMAZ BEKIR,5
513,AU=UNLU BEKIR,UNLU BEKIR,28
514,AU=KARATAS BEKIR,KARATAS BEKIR,7
515,AU=YILDIZ BEKIR,YILDIZ BEKIR,44
516,AU=CAKILDERE BEKIR,CAKILDERE BEKIR,0
517,AU=CAGLI BEKIR,CAGLI BEKIR,15
518,AU=CENGELCI BEKIR,CENGELCI BEKIR,0
519,AU=SANAL BEKIR,SANAL BEKIR,23
520,AU=ERES BENAN,ERES BENAN,2
521,AU=KILBAS BENAN,KILBAS BENAN,17
522,AU=KADERLI BERKANT,KADERLI BERKANT,13
523,AU=OZDEMIR BESIME,OZDEMIR BESIME,0
524,AU=SEKER BETUL,SEKER BETUL,2
525,AU=ESER BETUL,ESER BETUL,13
526,AU=CEYHAN BETUL,CEYHAN BETUL,16
527,AU=OKUTAN BETUL,OKUTAN BETUL,0
528,AU=YARAR BETUL,YARAR BETUL,0
529,AU=ISKENDER BETUL,ISKENDER BETUL,0
530,AU=SEYHAN BEYAZIT,SEYHAN BEYAZIT,0
531,AU=CENGIZ BEYHAN,CENGIZ BEYHAN,50
532,AU=KURT BEYZA,KURT BEYZA,0
533,AU=ERDOGMUS BESIR,ERDOGMUS BESIR,27
534,AU=GOZUBENLI BESIR,GOZUBENLI BESIR,0
535,AU=ALTUNTOP BESIR,ALTUNTOP BESIR,0
536,AU=OZTURK BORA,OZTURK BORA,10
537,AU=TANYERI BUKET,TANYERI BUKET,0
538,AU=CITIL BURAK,CITIL BURAK,6
539,AU=SUVAK BURAK,SUVAK BURAK,32
540,AU=UZ BURAK,UZ BURAK,52
541,AU=ULMAN BURAK,ULMAN BURAK,2
542,AU=GUNAY BURCU,GUNAY BURCU,1
543,AU=OGUZTURK BURCU,OGUZTURK BURCU,0
544,AU=KOCA BURCU,KOCA BURCU,2
545,AU=CAKAR BURCU,CAKAR BURCU,18
546,AU=KABADAYI BURHAN,KABADAYI BURHAN,0
547,AU=YAZICI BURHAN,YAZICI BURHAN,21
548,AU=UNAL BURHAN,UNAL BURHAN,5
549,AU=AKYUZ BULENT,AKYUZ BULENT,3
550,AU=ASLAN BULENT,ASLAN BULENT,14
551,AU=TELEF BULENT,TELEF BULENT,4
552,AU=BASARAN BULENT,BASARAN BULENT,3
553,AU=DOGRU BULENT,DOGRU BULENT,1
554,AU=DURU BULENT,DURU BULENT,0
555,AU=GOGEBAKAN BULENT,GOGEBAKAN BULENT,34
556,AU=KILIC BULENT,KILIC BULENT,51
557,AU=ICTEN BULENT,ICTEN BULENT,22
558,AU=MIRAN BULENT,MIRAN BULENT,17
559,AU=KILAVUZ BULENT,KILAVUZ BULENT,0
560,AU=ORAN BULENT,ORAN BULENT,39
561,AU=PETIK BULENT,PETIK BULENT,9
562,AU=TARMAN BULENT,TARMAN BULENT,9
563,AU=VURAL BULENT,VURAL BULENT,9
564,AU=YAVUZ BULENT,YAVUZ BULENT,0
565,AU=YILDIRIM BULENT,YILDIRIM BULENT,16
566,AU=CATALBAS BULENT,CATALBAS BULENT,6
567,AU=COBANOGLU BULENT,COBANOGLU BULENT,1
568,AU=OZ BULENT,OZ BULENT,2
569,AU=OZBAY BULENT,OZBAY BULENT,21
570,AU=OZDEMIR BULENT,OZDEMIR BULENT,55
571,AU=SIK BULENT,SIK BULENT,1
572,AU=ALTINOLUK BULNET,ALTINOLUK BULNET,0
573,AU=OZOGUL BUNYAMI,OZOGUL BUNYAMI,34
574,AU=UNAL BUNYAMI,UNAL BUNYAMI,48
575,AU=TURAN BUNYAMIN,TURAN BUNYAMIN,2
576,AU=DIKICI BUNYAMIN,DIKICI BUNYAMIN,5
577,AU=ISIK BUNYAMIN,ISIK BUNYAMIN,12
578,AU=KARABULUT BUNYAMIN,KARABULUT BUNYAMIN,33
579,AU=KISACIK BUNYAMIN,KISACIK BUNYAMIN,112
580,AU=KOC BUNYAMIN,KOC BUNYAMIN,18
581,AU=SOZUTOK BUNYAMIN,SOZUTOK BUNYAMIN,0
582,AU=GUL BILAL,GUL BILAL,1
583,AU=GURBUZ BILAL,GURBUZ BILAL,17
584,AU=SAVAS BILAL,SAVAS BILAL,0
585,AU=TEMIZ BILAL,TEMIZ BILAL,0
586,AU=YILDIZ BILAL,YILDIZ BILAL,35
587,AU=YILDIZ BILAL,YILDIZ BILAL,35
588,AU=YORULMAZ BILAL,YORULMAZ BILAL,0
589,AU=SEKER BILAL,SEKER BILAL,7
590,AU=SINIK BILAL,SINIK BILAL,0
591,AU=ANNAGUR BILGE,ANNAGUR BILGE,28
592,AU=SEN BILGE,SEN BILGE,49
593,AU=KARA BILGE,KARA BILGE,41
594,AU=PAMUK BILGEHAN,PAMUK BILGEHAN,3
595,AU=YILMAZ BINNAZ,YILMAZ BINNAZ,0
596,AU=ASIK BIRAY,ASIK BIRAY,6
597,AU=ALAN BIRCAN,ALAN BIRCAN,12
598,AU=SAVRAN BIRCAN,SAVRAN BIRCAN,13
599,AU=ISIK BIRHAN,ISIK BIRHAN,6
600,AU=TOPCU BIRKAN,TOPCU BIRKAN,4
601,AU=UNAL BIRSEN,UNAL BIRSEN,7
602,AU=DOGAN CABIR,DOGAN CABIR,0
603,AU=EROGLU CAFER,EROGLU CAFER,25
604,AU=ULU CAFER,ULU CAFER,0
605,AU=SAHBAZ CAFER,SAHBAZ CAFER,4
606,AU=YILMAZ CAHIDE,YILMAZ CAHIDE,39
607,AU=BAGCI CAHIT,BAGCI CAHIT,21
608,AU=KURBANOGLU CAHIT,KURBANOGLU CAHIT,12
609,AU=BENLIOGLU CAN,BENLIOGLU CAN,11
610,AU=OZBAY CAN,OZBAY CAN,7
611,AU=KAYGUSUZ CANANI,KAYGUSUZ CANANI,4
612,AU=SAHIN CANAY,SAHIN CANAY,0
613,AU=BADEM CANDAN,BADEM CANDAN,3
614,AU=ARSLAN CANER,ARSLAN CANER,28
615,AU=DINCER CANER,DINCER CANER,0
616,AU=TOKUC CANER,TOKUC CANER,0
617,AU=GUNER CANSEVER,GUNER CANSEVER,0
618,AU=AKDENIZ CELAL,AKDENIZ CELAL,54
619,AU=IRGIN CELAL,IRGIN CELAL,7
620,AU=KOCATEPE CELAL,KOCATEPE CELAL,7
621,AU=KILIT CELAL,KILIT CELAL,27
622,AU=CAYIR CELAL,CAYIR CELAL,1
623,AU=OZPINAR CELAL,OZPINAR CELAL,4
624,AU=CAMCI CELALETDIN,CAMCI CELALETDIN,29
625,AU=BAYKARA CELALETTIN,BAYKARA CELALETTIN,0
626,AU=KARADAS CELALETTIN,KARADAS CELALETTIN,0
627,AU=AYHAN CEM,AYHAN CEM,1
628,AU=GUREL CEM,GUREL CEM,3
629,AU=KAPTANOGLU CEM,KAPTANOGLU CEM,8
630,AU=ORUC CEM,ORUC CEM,17
631,AU=SARAC CEM,SARAC CEM,1
632,AU=ZEREN CEM,ZEREN CEM,19
633,AU=BALTACI CEMAL,BALTACI CEMAL,0
634,AU=ELITAS CEMAL,ELITAS CEMAL,2
635,AU=GUNDOGDU CEMAL,GUNDOGDU CEMAL,82
636,AU=ISIK CEMAL,ISIK CEMAL,0
637,AU=SANDALLI CEMAL,SANDALLI CEMAL,37
638,AU=SARAC CEMAL,SARAC CEMAL,1
639,AU=TUNCER CEMAL,TUNCER CEMAL,23
640,AU=YESILYURT CEMAL,YESILYURT CEMAL,24
641,AU=AYAS CEMALETTIN,AYAS CEMALETTIN,4
642,AU=DEMIRELI CEMALETTIN,DEMIRELI CEMALETTIN,0
643,AU=BULBUL CEMIL,BULBUL CEMIL,0
644,AU=KARA CEMIL,KARA CEMIL,5
645,AU=CELIK CEMIL,CELIK CEMIL,41
646,AU=SAHIN CEMIL,SAHIN CEMIL,0
647,AU=CAKMAK CENAP,CAKMAK CENAP,4
648,AU=ATASOGLU CENGIZ,ATASOGLU CENGIZ,6
649,AU=BASAK CENGIZ,BASAK CENGIZ,0
650,AU=DEMIREL CENGIZ,DEMIREL CENGIZ,16
651,AU=DEMIR CENGIZ,DEMIR CENGIZ,30
652,AU=DURUCU CENGIZ,DURUCU CENGIZ,35
653,AU=ERDIK CENGIZ,ERDIK CENGIZ,0
654,AU=INCE CENGIZ,INCE CENGIZ,3
655,AU=KOCAK CENGIZ,KOCAK CENGIZ,55
656,AU=ORMAN CENGIZ,ORMAN CENGIZ,0
657,AU=SARIKURKCU CENGIZ,SARIKURKCU CENGIZ,65
658,AU=TORAMAN CENGIZ,TORAMAN CENGIZ,3
659,AU=YALCIN CENGIZ,YALCIN CENGIZ,11
660,AU=CEVIK CENGIZ,CEVIK CENGIZ,25
661,AU=AKBIYIK CENK,AKBIYIK CENK,8
662,AU=EKEN CENKER,EKEN CENKER,66
663,AU=ATAS CESIM,ATAS CESIM,18
664,AU=AKTAS CEVAT,AKTAS CEVAT,42
665,AU=TOSUN CEVAT,TOSUN CEVAT,3
666,AU=DEMIR CEVDET,DEMIR CEVDET,30
667,AU=GOLOGLU CEVDET,GOLOGLU CEVDET,8
668,AU=JR CLYDE,JR CLYDE,0
669,AU=CHIFANE CRISTINA,CHIFANE CRISTINA,2
670,AU=CICEK CUMA,CICEK CUMA,1
671,AU=GOKCE CUMALI,GOKCE CUMALI,39
672,AU=AKINLAR CUNEYT,AKINLAR CUNEYT,26
673,AU=BERKDEMIR CUNEYT,BERKDEMIR CUNEYT,15
674,AU=DEMIR CUNEYT,DEMIR CUNEYT,3
675,AU=KAHRAMAN CUNEYT,KAHRAMAN CUNEYT,12
676,AU=HAMIDI CIHAD,HAMIDI CIHAD,29
677,AU=TOKTAS CIHAN,TOKTAS CIHAN,6
678,AU=TURK CIHAN,TURK CIHAN,0
679,AU=YILDIRIM CIHAN,YILDIRIM CIHAN,19
680,AU=ALIAGAOGLU CIHANGIR,ALIAGAOGLU CIHANGIR,30
681,AU=EREM CIHANGIR,EREM CIHANGIR,67
682,AU=GURKAN CIHAT,GURKAN CIHAT,5
683,AU=POLAT CIHAT,POLAT CIHAT,1
684,AU=AKTAS DAVUT,AKTAS DAVUT,3
685,AU=AYDUZ DAVUT,AYDUZ DAVUT,0
686,AU=BALTACI DAVUT,BALTACI DAVUT,44
687,AU=DAMA DAVUT,DAMA DAVUT,1
688,AU=DEMIRKIRAN DAVUT,DEMIRKIRAN DAVUT,7
689,AU=OZDEMIR DAVUT,OZDEMIR DAVUT,23
690,AU=INCEBACAK DAVUT,INCEBACAK DAVUT,10
691,AU=ISIK DAGHAN,ISIK DAGHAN,45
692,AU=ARSLAN DEMET,ARSLAN DEMET,12
693,AU=KORUCU DEMET,KORUCU DEMET,7
694,AU=SEBAN DEMET,SEBAN DEMET,4
695,AU=EKINCI DENIZ,EKINCI DENIZ,83
696,AU=GUNEY DENIZ,GUNEY DENIZ,14
697,AU=TOKAT DENIZ,TOKAT DENIZ,2
698,AU=UNAL DENIZ,UNAL DENIZ,56
699,AU=DUNDAR DERYA,DUNDAR DERYA,0
700,AU=DEMIRER DERYA,DEMIRER DERYA,1
701,AU=SAGLAM DERYA,SAGLAM DERYA,6
702,AU=YILDIZ DERYA,YILDIZ DERYA,9
703,AU=TARHAN DEVRIM,TARHAN DEVRIM,8
704,AU=ERDOGAN DOGAN,ERDOGAN DOGAN,96
705,AU=KILKIS DOGAN,KILKIS DOGAN,8
706,AU=KURT DOGAN,KURT DOGAN,5
707,AU=CETIN DOGAN,CETIN DOGAN,4
708,AU=KARATAS DURA,KARATAS DURA,0
709,AU=ARSLAN DURAN,ARSLAN DURAN,20
710,AU=YAVSAN DURDU,YAVSAN DURDU,5
711,AU=OZCAN DURDU,OZCAN DURDU,0
712,AU=BAL DURMUS,BAL DURMUS,9
713,AU=BOZKURT DURMUS,BOZKURT DURMUS,31
714,AU=BUNARCIOGLU DURMUS,BUNARCIOGLU DURMUS,0
715,AU=TATLIOGLU DURMUS,TATLIOGLU DURMUS,0
716,AU=TURKMEN DURMUS,TURKMEN DURMUS,4
717,AU=SAHIN DURSUN,SAHIN DURSUN,22
718,AU=YAGIZ DURSUN,YAGIZ DURSUN,8
719,AU=AKKOYUN DURSUN,AKKOYUN DURSUN,29
720,AU=GUCLU DUNYAMIN,GUCLU DUNYAMIN,11
721,AU=CAKIRCA DUZGUN,CAKIRCA DUZGUN,0
722,AU=DOGAN DIDEM,DOGAN DIDEM,4
723,AU=GURSES DIDEM,GURSES DIDEM,1
724,AU=ER DILEK,ER DILEK,0
725,AU=KUTANIS DILEK,KUTANIS DILEK,8
726,AU=SELEK DILEK,SELEK DILEK,0
727,AU=KOCAK DILEK,KOCAK DILEK,1
728,AU=ESSIZ DINC,ESSIZ DINC,23
729,AU=TEKBAS EBRU,TEKBAS EBRU,23
730,AU=UZ EBRU,UZ EBRU,40
731,AU=TOY EBUBEKIR,TOY EBUBEKIR,13
732,AU=CAKMAK EBUBEKIR,CAKMAK EBUBEKIR,2
733,AU=KALENDER EBUZER,KALENDER EBUZER,15
734,AU=CAKMAK ECIR,CAKMAK ECIR,17
735,AU=ERDENER EDA,ERDENER EDA,1
736,AU=LLUKACAJ EDONA,LLUKACAJ EDONA,1
737,AU=MINARECI EDIBE,MINARECI EDIBE,4
738,AU=POLAT EDIZ,POLAT EDIZ,8
739,AU=TUTAR EDIZ,TUTAR EDIZ,32
740,AU=POLAT EFDAL,POLAT EFDAL,1
741,AU=UZ EFKAN,UZ EFKAN,46
742,AU=IRKICATAL EFTAL,IRKICATAL EFTAL,0
743,AU=AKCICEK EKREM,AKCICEK EKREM,16
744,AU=AYDIN EKREM,AYDIN EKREM,6
745,AU=DEMIR EKREM,DEMIR EKREM,0
746,AU=DUNDAR EKREM,DUNDAR EKREM,17
747,AU=GULER EKREM,GULER EKREM,75
748,AU=KARA EKREM,KARA EKREM,43
749,AU=MUS EKREM,MUS EKREM,1
750,AU=YETER EKREM,YETER EKREM,89
751,AU=UZGEL ELCIN,UZGEL ELCIN,0
752,AU=TERZI ELCIN,TERZI ELCIN,15
753,AU=UYSAL ELIF,UYSAL ELIF,16
754,AU=ERDOGAN ELIF,ERDOGAN ELIF,8
755,AU=FIRAT ELIF,FIRAT ELIF,1
756,AU=TAS ELIF,TAS ELIF,1
757,AU=GOZEMIR ELIF,GOZEMIR ELIF,0
758,AU=GULTURK ELIF,GULTURK ELIF,0
759,AU=ERTAS ELIF,ERTAS ELIF,20
760,AU=BEIGMOHAMMADI ELIF,BEIGMOHAMMADI ELIF,2
761,AU=BERK ELIFE,BERK ELIFE,14
762,AU=KILICBEYLI ELIFE,KILICBEYLI ELIFE,0
763,AU=BOZKURT ELIFE,BOZKURT ELIFE,0
764,AU=ASLAN EMEL,ASLAN EMEL,8
765,AU=BULCUN EMEL,BULCUN EMEL,20
766,AU=CAGLAYAN EMEL,CAGLAYAN EMEL,15
767,AU=ERGIN EMEL,ERGIN EMEL,1
768,AU=KARAKAS EMEL,KARAKAS EMEL,18
769,AU=AKCAY EMRAH,AKCAY EMRAH,7
770,AU=BULUT EMRAH,BULUT EMRAH,28
771,AU=GUNOK EMRAH,GUNOK EMRAH,0
772,AU=GIZIROGLU EMRAH,GIZIROGLU EMRAH,11
773,AU=UYANIK EMRAH,UYANIK EMRAH,9
774,AU=OZBUGUTU EMRAH,OZBUGUTU EMRAH,0
775,AU=UNAL EMRAH,UNAL EMRAH,5
776,AU=BENDES EMRE,BENDES EMRE,4
777,AU=CAN EMRE,CAN EMRE,5
778,AU=EROGLU EMRE,EROGLU EMRE,10
779,AU=GUNBEY EMRE,GUNBEY EMRE,35
780,AU=HOCAOGLU EMRE,HOCAOGLU EMRE,19
781,AU=KARAKUS EMRE,KARAKUS EMRE,54
782,AU=SANCAK EMRE,SANCAK EMRE,8
783,AU=SEVINDIK EMRE,SEVINDIK EMRE,8
784,AU=CAVDAR EMRE,CAVDAR EMRE,0
785,AU=COMAK EMRE,COMAK EMRE,8
786,AU=AYDIN EMSAL,AYDIN EMSAL,12
787,AU=ERGUN EMIN,ERGUN EMIN,12
788,AU=KARA EMIN,KARA EMIN,0
789,AU=KILINC EMIN,KILINC EMIN,2
790,AU=MADEN EMIN,MADEN EMIN,17
791,AU=METE EMIN,METE EMIN,27
792,AU=BASKENT EMIN,BASKENT EMIN,50
793,AU=OZDEMIR EMIN,OZDEMIR EMIN,4
794,AU=OZYILMAZ EMIN,OZYILMAZ EMIN,5
795,AU=SAVIK EMIN,SAVIK EMIN,17
796,AU=TAVIL EMINE,TAVIL EMINE,2
797,AU=BINNETOGLU EMINE,BINNETOGLU EMINE,27
798,AU=MALKOC EMINE,MALKOC EMINE,20
799,AU=MESTAN EMINE,MESTAN EMINE,3
800,AU=MESE EMINE,MESE EMINE,8
801,AU=HERKEN EMINE,HERKEN EMINE,28
802,AU=RIFAIOGLU EMINE,RIFAIOGLU EMINE,30
803,AU=PANCAR EMINE,PANCAR EMINE,0
804,AU=KOC EMINE,KOC EMINE,67
805,AU=KOC EMINE,KOC EMINE,67
806,AU=KARAKOC EMINE,KARAKOC EMINE,3
807,AU=COSAR EMINE,COSAR EMINE,46
808,AU=OZEL EMINE,OZEL EMINE,6
809,AU=TAN ENES,TAN ENES,5
810,AU=YILMAZ ENES,YILMAZ ENES,10
811,AU=DOGAN ENFEL,DOGAN ENFEL,0
812,AU=AKAR ENGIN,AKAR ENGIN,6
813,AU=AKMAN ENGIN,AKMAN ENGIN,5
814,AU=BASARAN ENGIN,BASARAN ENGIN,3
815,AU=DELICE ENGIN,DELICE ENGIN,0
816,AU=SELCUK ENGIN,SELCUK ENGIN,16
817,AU=YAZICI ENGIN,YAZICI ENGIN,0
818,AU=ERDEM ENGIN,ERDEM ENGIN,1
819,AU=SENGUL ENGIN,SENGUL ENGIN,11
820,AU=YEKELER ENSAR,YEKELER ENSAR,46
821,AU=SANCAKDAR ENVER,SANCAKDAR ENVER,30
822,AU=ALBAYRAK ENVER,ALBAYRAK ENVER,3
823,AU=TATAR ENVER,TATAR ENVER,12
824,AU=USLU ENVER,USLU ENVER,3
825,AU=TOPCU ERAL,TOPCU ERAL,0
826,AU=EKICI ERAN,EKICI ERAN,0
827,AU=AKBAY ERCAN,AKBAY ERCAN,15
828,AU=ARI ERCAN,ARI ERCAN,0
829,AU=BALCIOGLU ERCAN,BALCIOGLU ERCAN,1
830,AU=BALDEMIR ERCAN,BALDEMIR ERCAN,9
831,AU=GENCER ERCAN,GENCER ERCAN,5
832,AU=MADENCI ERCAN,MADENCI ERCAN,19
833,AU=PILICER ERCAN,PILICER ERCAN,9
834,AU=SUNGER ERCAN,SUNGER ERCAN,0
835,AU=SIVASLI ERCAN,SIVASLI ERCAN,20
836,AU=UCGUN ERCAN,UCGUN ERCAN,2
837,AU=AKSAKAL ERCUMENT,AKSAKAL ERCUMENT,17
838,AU=TEZCAN ERCUMENT,TEZCAN ERCUMENT,1
839,AU=ABDULHAKIMOGULLARI ERDAL,ABDULHAKIMOGULLARI ERDAL,0
840,AU=ARAS ERDAL,ARAS ERDAL,11
841,AU=BAYIR ERDAL,BAYIR ERDAL,2
842,AU=BULGAN ERDAL,BULGAN ERDAL,4
843,AU=BIBER ERDAL,BIBER ERDAL,0
844,AU=CANIYILMAZ ERDAL,CANIYILMAZ ERDAL,8
845,AU=DEMIR ERDAL,DEMIR ERDAL,2
846,AU=DIKMEN ERDAL,DIKMEN ERDAL,8
847,AU=ELKOCA ERDAL,ELKOCA ERDAL,12
848,AU=EREN ERDAL,EREN ERDAL,67
849,AU=GISI ERDAL,GISI ERDAL,0
850,AU=KARA ERDAL,KARA ERDAL,12
851,AU=KACAN ERDAL,KACAN ERDAL,4
852,AU=PEKER ERDAL,PEKER ERDAL,54
853,AU=TATAR ERDAL,TATAR ERDAL,4
854,AU=YAYLAK ERDAL,YAYLAK ERDAL,7
855,AU=OZCAN ERDAL,OZCAN ERDAL,4
856,AU=OZSUNAR ERDAL,OZSUNAR ERDAL,0
857,AU=AYYILDIZ ERDEM,AYYILDIZ ERDEM,2
858,AU=GUVEN ERDEM,GUVEN ERDEM,34
859,AU=SURUCU ERDEM,SURUCU ERDEM,16
860,AU=YUKSEL ERDEM,YUKSEL ERDEM,27
861,AU=OZCAN ERDEM,OZCAN ERDEM,6
862,AU=SAGLAM ERDL,SAGLAM ERDL,0
863,AU=ARI ERDOGAN,ARI ERDOGAN,0
864,AU=BOZ ERDOGAN,BOZ ERDOGAN,0
865,AU=GULTEKIN ERDOGAN,GULTEKIN ERDOGAN,15
866,AU=HALAT ERDOGAN,HALAT ERDOGAN,3
867,AU=KILICASLAN ERDOGAN,KILICASLAN ERDOGAN,1
868,AU=KOCAMAZ ERDOGAN,KOCAMAZ ERDOGAN,16
869,AU=OZBAY ERDOGAN,OZBAY ERDOGAN,39
870,AU=OZEL ERDOGAN,OZEL ERDOGAN,0
871,AU=OZKAYA ERDOGAN,OZKAYA ERDOGAN,4
872,AU=SENTURK ERDOGAN,SENTURK ERDOGAN,6
873,AU=AKYILDIRIM ERDINC,AKYILDIRIM ERDINC,7
874,AU=AKSU EREN,AKSU EREN,0
875,AU=YILDIRIM EREN,YILDIRIM EREN,6
876,AU=GONCA ERGUN,GONCA ERGUN,18
877,AU=GUNTEKIN ERGUN,GUNTEKIN ERGUN,13
878,AU=KARAVELIOGLU ERGUN,KARAVELIOGLU ERGUN,25
879,AU=NART ERGUN,NART ERGUN,5
880,AU=YASAR ERGUN,YASAR ERGUN,3
881,AU=SAKALAR ERGUN,SAKALAR ERGUN,13
882,AU=BINGOLBALI ERHAN,BINGOLBALI ERHAN,11
883,AU=DELEN ERHAN,DELEN ERHAN,11
884,AU=GENC ERHAN,GENC ERHAN,24
885,AU=GUNEYISI ERHAN,GUNEYISI ERHAN,66
886,AU=KELESOGLU ERHAN,KELESOGLU ERHAN,0
887,AU=METIN ERHAN,METIN ERHAN,0
888,AU=SARI ERHAN,SARI ERHAN,28
889,AU=TAHAN ERHAN,TAHAN ERHAN,4
890,AU=VAROGLU ERHAN,VAROGLU ERHAN,29
891,AU=OZCAN ERHAN,OZCAN ERHAN,14
892,AU=UNLU ERHAN,UNLU ERHAN,23
893,AU=KOMURCU ERKAM,KOMURCU ERKAM,30
894,AU=CURE ERKAN,CURE ERKAN,51
895,AU=EFE ERKAN,EFE ERKAN,13
896,AU=GOCEN ERKAN,GOCEN ERKAN,4
897,AU=KAVAS ERKAN,KAVAS ERKAN,0
898,AU=KACAN ERKAN,KACAN ERKAN,6
899,AU=KURT ERKAN,KURT ERKAN,10
900,AU=SOGUT ERKAN,SOGUT ERKAN,29
901,AU=YAMAN ERKAN,YAMAN ERKAN,5
902,AU=YULA ERKAN,YULA ERKAN,31
903,AU=CALISKAN ERKAN,CALISKAN ERKAN,10
904,AU=SIMSEK ERKAN,SIMSEK ERKAN,2
905,AU=BAGCIOGLU ERMAN,BAGCIOGLU ERMAN,23
906,AU=GENC ERNUR,GENC ERNUR,0
907,AU=ALBAYRAK EROL,ALBAYRAK EROL,5
908,AU=ERCAG EROL,ERCAG EROL,25
909,AU=GUNDUZ EROL,GUNDUZ EROL,1
910,AU=TOKSEN EROL,TOKSEN EROL,5
911,AU=CELIK EROL,CELIK EROL,0
912,AU=COSKUN EROL,COSKUN EROL,25
913,AU=ONEN EROL,ONEN EROL,4
914,AU=CICEK ERSAN,CICEK ERSAN,14
915,AU=DAG ERSEL,DAG ERSEL,27
916,AU=OBUZ ERSEL,OBUZ ERSEL,16
917,AU=ERKAN ERSIN,ERKAN ERSIN,0
918,AU=FADILLIOGLU ERSIN,FADILLIOGLU ERSIN,32
919,AU=KARAPAZARLIOGLU ERSIN,KARAPAZARLIOGLU ERSIN,0
920,AU=TERES ERSIN,TERES ERSIN,1
921,AU=ERDEN ERSIN,ERDEN ERSIN,9
922,AU=BESE ERTAN,BESE ERTAN,0
923,AU=DURMUSOGLU ERTAN,DURMUSOGLU ERTAN,16
924,AU=ERSOY ERTAN,ERSOY ERTAN,0
925,AU=YANIK ERTAN,YANIK ERTAN,9
926,AU=OZTURK ERTAN,OZTURK ERTAN,20
927,AU=ACARTURK ERTUGRUL,ACARTURK ERTUGRUL,0
928,AU=ERCAN ERTUGRUL,ERCAN ERTUGRUL,49
929,AU=KARGI ERTUGRUL,KARGI ERTUGRUL,15
930,AU=MAVILI ERTUGRUL,MAVILI ERTUGRUL,43
931,AU=UZUN ERTUGRUL,UZUN ERTUGRUL,3
932,AU=BOZKURT ESAT,BOZKURT ESAT,18
933,AU=CETIN ESAT,CETIN ESAT,3
934,AU=SAVAS ESEN,SAVAS ESEN,24
935,AU=BAKIR ESENGUL,BAKIR ESENGUL,0
936,AU=KARAKAS ESER,KARAKAS ESER,0
937,AU=BOZKURT ESHABIL,BOZKURT ESHABIL,0
938,AU=AKCAN ESMA,AKCAN ESMA,2
939,AU=KAYA ESMA,KAYA ESMA,19
940,AU=UGURLU ESMA,UGURLU ESMA,0
941,AU=USAK ESMA,USAK ESMA,3
942,AU=YILDIZ ESMA,YILDIZ ESMA,7
943,AU=AKBALIK ESRA,AKBALIK ESRA,1
944,AU=TUZCU ESRA,TUZCU ESRA,33
945,AU=OZTURK ESRA,OZTURK ESRA,48
946,AU=INAL ESRA,INAL ESRA,32
947,AU=KIZILCI ESRA,KIZILCI ESRA,1
948,AU=COLAK ESRA,COLAK ESRA,2
949,AU=OZDEMIR ESIN,OZDEMIR ESIN,1
950,AU=KARAKAYA ETEM,KARAKAYA ETEM,2
951,AU=KOKLUKAYA ETEM,KOKLUKAYA ETEM,23
952,AU=SOYUCOK ETEM,SOYUCOK ETEM,4
953,AU=YESILYURT ETEM,YESILYURT ETEM,4
954,AU=OZDEMIR EVREN,OZDEMIR EVREN,33
955,AU=ERBILGIN EVRIM,ERBILGIN EVRIM,6
956,AU=KILIC EYLEM,KILIC EYLEM,23
